### CMD: docker exec pw-control-plane sh -lc ctr -n k8s.io images ls || true
### DATE: 2026-02-19T10:02:09+01:00

REF                                                                                                                        TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                                                                           LABELS                                                          
docker.io/library/playwright-wrapper:local-20260217-201604                                                                 application/vnd.oci.image.manifest.v1+json                sha256:dd7e78810e9f9a2723bda93c9f370cb9c9a5b6c49fc6997b7e14cfbd914ad9a8 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-202549                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ac2b1389b9eba63a74f474179e64a656d68e47c451f5465dcdc133d2a47958e8 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-203040                                                                 application/vnd.oci.image.manifest.v1+json                sha256:6b5a1fe7f25362c19c9f688a16420f6356ef666bbb9e6031f28d66d1956dd7e8 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-205419                                                                 application/vnd.oci.image.manifest.v1+json                sha256:f517ddb60c31a46dd046f3efb30b948bc2bf5eebfd5ea971d4ae7d13f120219c 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-210658                                                                 application/vnd.oci.image.manifest.v1+json                sha256:3349fa37145ad5723d96d8f2e900a12af31a9f4580e2b26ed1bccf1cd7bbf921 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-211709                                                                 application/vnd.oci.image.manifest.v1+json                sha256:3349fa37145ad5723d96d8f2e900a12af31a9f4580e2b26ed1bccf1cd7bbf921 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-212443                                                                 application/vnd.oci.image.manifest.v1+json                sha256:b38814b28fb07f95b93f2caacce4642b82a8c1e5f706eb7097010bed7fba0680 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260217-232534                                                                 application/vnd.oci.image.manifest.v1+json                sha256:67fc36bda31d7dacd5b2bd11fa61b11a25ceacc0febaae82ac1a18aa13413a7f 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-101042                                                                 application/vnd.oci.image.manifest.v1+json                sha256:fbbca24d71f736add3468fb9a7a5593fa5a8d73a5eded901bf1776112ca17321 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-101810                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-102808                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-103032                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-103604                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-103839                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
docker.io/library/playwright-wrapper:local-20260218-104043                                                                 application/vnd.oci.image.manifest.v1+json                sha256:ed3f57d2a77b92b02185c147194c9f3ec2fa9bd3be830da1a698b175c25750af 191.9 MiB linux/amd64                                                                                                         io.cri-containerd.image=managed                                 
